々	(kép)
瑛	ANH
瑞	THỤY
瑠	LƯU
瑤	DAO
璃	LY
環	HOÀN
璽	TỶ
瓏	LUNG
瓔	ANH
瓜	QUA
瓣	BIỆN
瓦	NGÕA
瓧	(ngập)
瓩	(nghiên)
瓰	(ngân)
瓱	(ngao)
瓶	BÌNH
瓸	(ngách)
甅	(ngoi)
甕	ÚNG
甘	CAM
甚	THẬM
生	SINH
産	SẢN
甦	CANH
用	DỤNG
甫	PHỦ
田	ĐIỀN
由	DO
甲	GIÁP
申	THÂN
男	NAM
町	ĐINH
画	HỌA/HOẠCH
界	GIỚI
畑	(vườn)
畔	BẠN
留	LƯU
畚	BỔN
畜	SÚC
畝	MẪU
畠	(đồng)
略	LƯỢC
畦	HUỀ
番	PHIÊN
異	DỊ
畳	ĐIỆP
當	ĐƯƠNG
畿	KỲ
疆	CƯƠNG
疎	SƠ
疑	NGHI
疔	ĐINH
疚	CỬU
疝	SÁN
疣	VƯU
疥	GIỚI
疫	DỊCH
疱	BÀO
疲	BÍ
疳	CAM
疵	TỲ/TÌ
疸	ĐẢM
疹	CHẨN
疼	ĐÔNG
疽	THƯ
疾	TẬT
痂	GIÀ
痃	HUYỀN
病	BỆNH
症	CHỨNG
痊	THUYÊN
痍	DI
痒	DƯỠNG
痔	TRĨ
痕	NGÂN
痘	ĐẬU
痙	KINH
痛	THỐNG
痞	BĨ/PHỦ
痢	LỴ
痣	CHÍ
痩	SẤU
痰	ĐÀM
痲	MA
痳	LÂM
痴	SI
痺	TÊ
痼	CỐ
痾	Á
痿	NUY
瘁	TỤY
瘉	DŨ
瘋	PHONG
瘍	DƯƠNG
瘟	ÔN
瘠	TÍCH
瘡	SANG
瘢	BAN
瘤	LỰU
瘧	NGƯỢC
瘰	LOA
瘴	CHƯỚNG
瘻	LÂU
療	LIỆU
癆	LAO
癇	NHÀN
癈	PHẾ
癌	NHAM
癒	DŨ
癖	PHÍCH
癘	LỆ
癜	ĐIẾN
癡	SI
癢	DƯỠNG
癧	LỆ
癨	HOẮC
癩	LẠI
癪	TÍCH
癬	TIỂN
癰	UNG
癲	ĐIÊN
癶	BÁT
癸	QUÝ/QUÍ
発	PHÁT
登	ĐĂNG
白	BẠCH
百	BÁCH
的	ĐÍCH
皆	GIAI
皇	HOÀNG
皓	HẠO
皮	BÌ
皸	QUÂN
皹	QUÂN
皺	SÔ
皿	MÃNH
盂	VU
盃	BÔI
盆	BỒN
益	ÍCH
盒	HẠP
盗	ĐẠO
盛	THỊNH
盞	TRẢN
盟	MINH
監	GIÁM
盤	BÀN
目	MỤC
盲	MANH
直	TRỰC
相	TƯƠNG/TƯỚNG
盾	THUẪN
省	TỈNH
眉	MI
看	KHÁN
県	HUYỆN
眞	CHÂN
真	CHÂN
眠	MIÊN
眩	HUYỄN
眸	MÂU
眺	THIẾU
眼	NHÃN
着	TRƯỚC
睛	TÌNH
睡	THỤY
督	ĐỐC
睦	MỤC
睿	DUỆ
瞬	THUẤN
瞳	ĐỒNG
瞽	CỔ
矍	QUẮC
矗	SÚC
矛	MÂU
矢	THỈ
知	TRI
矩	CỦ
短	ĐOẢN
矯	KIỂU
石	THẠCH
砂	SA
砒	PHÊ/TỲ
研	NGHIÊN
砕	TOÁI
砥	CHỈ
砦	TRẠI
砲	PHÁO
破	PHÁ
硅	KHUÊ
硝	TIÊU
硫	LƯU
硬	NGẠNH
硼	BẰNG
碁	KỲ
碑	BI
碧	BÍCH
確	XÁC
磁	TỪ
磨	MA
磯	KY
礁	TIỀU
礎	SỞ
礫	LỊCH
示	THỊ
礼	LỄ
社	XÃ
祇	CHỈ
祈	KỲ
祉	CHỈ
祐	HỮU
祖	TỔ
祝	CHÚC
神	THẦN
祠	TỪ
祥	TƯỜNG
票	PHIẾU/TIÊU/PHIÊU
祭	TẾ
祷	niệm
禀	BẨM
禁	CẤM
禄	LỘC
禅	THIỀN
禍	HỌA
禎	TRINH
福	PHÚC
禽	CẦM
禿	NGỐC
秀	TÚ
私	TƯ
秋	THU
科	KHOA
秒	MIỂU
秘	BÍ
租	TÔ
秤	XỨNG
秦	TẦN
秩	TRẬT
称	XƯNG/XỨNG
移	DI
稀	HY/HI
程	TRÌNH
税	THUẾ
稔	NHẪM
稚	TRĨ
稜	LĂNG
稟	BẨM
種	CHỦNG
稲	ĐẠO
稼	GIÁ
稽	KÊ/KHỂ
稿	CẢO
穀	CỐC
穂	TUỆ
積	TÍCH
穎	DĨNH
穏	ỔN
穣	NHƯƠNG
穫	HOẠCH
穴	HUYỆT
究	CỨU
空	KHÔNG/KHỐNG
突	ĐỘT
窃	THIẾT
窄	TRÁCH
窒	TRẤT
窓	SONG
窟	QUẬT
窪	OA
窮	CÙNG
窯	DIÊU
窶	CŨ/LŨ
立	LẬP
竍	(lập)
竏	(liên)
竓	(lao)
竕	(lân)
竜	LONG
章	CHƯƠNG
竡	(lách)
童	ĐỒNG
竦	TƯƠNG
端	ĐOAN
竰	(ly)
競	CẠNH
竹	TRÚC
竺	TRÚC/ĐỐC
笑	TIẾU
笛	ĐỊCH
符	PHÙ
第	ĐỆ
笹	(sậy)
筆	BÚT
等	ĐẲNG
筋	CÂN
筒	ĐỒNG
答	ĐÁP
策	SÁCH
箇	CÁ
箒	TRỬU
箔	BẠC
算	TOÁN
管	QUẢN
箱	TƯƠNG/SƯƠNG
節	TIẾT
範	PHẠM
篆	TRIỆN
篇	THIÊN
築	TRÚC
篤	ĐỐC
簒	SOÁN
簡	GIẢN
簾	LIÊM
簿	BỘ
籍	TỊCH
籠	LUNG
籤	THIÊM
籬	LY/LI
米	MỄ
籵	(mập)
籾	(gạo)
粁	(miên)
粃	CHỦY
粉	PHẤN
粋	TÚY
粍	(mao)
粒	LẠP
粗	THÔ
粘	NIÊM
粛	TÚC
粟	TÚC
粤	VIỆT
粥	CHÚC
粧	TRANG
粨	(mách)
精	TINH
糖	ĐƯỜNG
糞	PHẨN
糧	LƯỢNG
糸	MỊCH
系	HỆ
糾	CỦ
紀	KỶ
約	ƯỚC
紅	HỒNG
紊	VẶN
紋	VĂN
納	NẠP
紐	NỮU
純	THUẦN
紗	SA
紘	HOÀNH
紙	CHỈ
級	CẤP
紛	PHÂN
素	TỐ
紡	PHƯỞNG
索	SÁCH/TÁC
紫	TỬ
累	LŨY
細	TẾ
紳	THÂN
紹	THIỆU
紺	CÁM
終	CHUNG
絃	HUYỀN
組	TỔ
絆	BÁN
経	KINH
結	KẾT
絞	GIẢO
絡	LẠC
絢	HUYỀN
給	CẤP
統	THỐNG
絵	HỘI
絶	TUYỆT
絹	QUYÊN
継	KẾ
続	TỤC
綬	THỤ
維	DUY
綱	CƯƠNG
網	VÕNG
綾	LĂNG
綿	MIÊN
緊	KHẨN
緋	PHI
総	TỔNG
緑	LỤC
緒	TỰ
線	TUYẾN
締	ĐẾ
編	BIÊN
緩	HOÃN
緬	MIẾN
緯	VĨ
練	LUYỆN
縁	DUYÊN
縄	THẰNG
縛	PHƯỢC/PHỌC
縦	TUNG
縫	PHÙNG
縮	SÚC
績	TÍCH
繁	PHỒN
繊	TIỆM
繋	HỆ
織	CHỨC
繕	THIỆN
繭	KIỂN
繰	TAO/TÀO
纏	TRIỀN
缶	HẪU/PHỮU
罅	HÁ
罌	ANH
网	VÕNG
罔	VÕNG
罕	HÃN
罪	TỘI
罫	QUẢI/QUÁI
置	TRÍ
罰	PHẠT
署	THỰ
罵	MẠ
罷	BÃI
罹	LY
羅	LA
羈	KY/KI
羊	DƯƠNG
美	MỸ
羞	TU
群	QUẦN
義	NGHĨA
羸	LUY
羽	VŨ
翁	ÔNG
翅	SÍ
翌	DỰC
習	TẬP
翔	TƯỜNG
翕	HẤP
翠	THÚY
翡	PHỈ
翦	TIỄN
翩	PHIÊN
翰	HÀN
翳	Ế
翹	KIỀU/KHIÊU
翻	PHIÊN
翼	DỰC
耀	DIỆU
老	LÃO
考	KHẢO
耄	MẠO
者	GIẢ
耐	NẠI
耕	CANH
耗	HAO/HÁO
耳	NHĨ
耶	GIA
耽	ĐAM
聖	THÁNH
聚	TỤ
聞	VĂN
聡	THÔNG
聯	LIÊN
聴	THÍNH
職	CHỨC
聾	LUNG
肅	TÚC
肇	TRIỆU
肉	NHỤC
肌	CƠ
肖	TIÊU
肛	GIANG
肝	CAN
股	CỔ
肢	CHI
肥	PHÌ
肩	KIÊN
肪	PHƯƠNG
肯	KHẲNG
肱	QUĂNG
育	DỤC
肴	HÀO
肺	PHẾ
胃	VỊ
胆	ĐẢM
背	BỐI
胎	THAI
胞	BÀO
胡	HỒ
胤	DẬN
胴	ĐỖNG
胸	HUNG
能	NĂNG
脂	CHI
脅	HIẾP
脇	HIẾP
脈	MẠCH
脚	CƯỚC
脛	CẢNH
脩	TU
脱	THOÁT
脳	NÃO
脹	TRƯỚNG
脾	TỲ/TÌ
腎	THẬN
腐	HỦ
腑	PHỦ
腕	OẢN
腫	THŨNG
腰	YÊU
腸	TRƯỜNG/TRÀNG
腹	PHÚC/PHỤC
腺	TUYẾN
膏	CAO/CÁO
膚	PHU
膜	MÔ
膝	TẤT
膨	BÀNH
膳	THIỆN
膵	TỤY
膺	ƯNG
膿	NỒNG
臆	ỨC
臓	TẠNG
臟	TẠNG
臣	THẦN
臥	NGỌA
臨	LÂM
自	TỰ
臭	XÚ
至	CHÍ
致	TRÍ
臺	ĐÀI
臼	CỮU
臾	DU
與	DỰ/DỮ
興	HƯNG
舌	THIỆT
舎	XÁ
舐	THỈ
舗	PHỐ
舘	QUÁN
舞	VŨ
舟	CHU/CHÂU
航	HÀNG
般	BAN/BÀN
舶	BẠC
船	THUYỀN
艇	ĐÌNH
艦	HẠM
良	LƯƠNG
色	SẮC
艶	DIỄM
芋	DỤ
芙	PHÙ
芝	CHI
芥	GIỚI
花	HOA
芳	PHƯƠNG
芸	NGHỆ
芻	SÔ
芽	NHA
苑	UYỂN
苔	ĐÀI
苗	MIÊU
苛	HÀ
若	NHƯỢC
苦	KHỔ
英	ANH
茂	MẬU
范	PHẠM
茅	MAO
茉	MẠT
茎	HÀNH
茜	THIẾN
茨	TỲ/TÌ
茫	MANG
茶	TRÀ
草	THẢO
荊	KINH
荒	HOANG
荘	TRANH
荷	HÀ
莉	LỴ
莞	HOÀN/HOẢN
菊	CÚC
菌	KHUẨN
菓	QUẢ
菜	THÁI
華	HOA
菱	LĂNG
萌	MANH
萎	ÙY
萩	THO
落	LẠC
葉	DIỆP
著	TRƯỚC
葛	CÁT
葦	VI
葬	TÁNG
葱	THÔNG
葵	QUỲ/QUÌ
葺	TẬP
蒙	MÔNG
蒲	BỒ
蒸	CHƯNG
蒼	THƯƠNG
蓄	SÚC
蓉	DUNG
蓋	CÁI
蓑	SOA/THOA
蓚	TU
蓮	LIÊN
蔓	MẠN
蔦	ĐIỀU
蔭	ẨM
蔵	TÁNG
蔽	TẾ
蕁	TẦM
蕃	PHIỀN
蕊	NHỊ
蕎	KIỀU
蕗	LỘ
蕩	ĐÃNG
蕪	VU
薄	BẠC
薇	VI
薊	KẾ
薔	TƯỜNG/SẮC
薦	TIẾN
薪	TÂN
薫	HUÂN
薬	DƯỢC
薮	TẨU
藁	CẢO
藍	LAM
藤	ĐẰNG
藩	PHIÊN
藹	ÁI
藻	TẢO
蘂	NHỊ
蘆	LÔ
蘇	TÔ
蘚	TIỂN
蘭	LAN
虎	HỔ
虐	NGƯỢC
處	XỬ
虚	HƯ
虜	LỖ
虞	NGU
虧	KHUY
虫	TRÙNG
虱	SẮT
虹	HỒNG
蚊	VĂN
蚋	NHUẾ
蚌	BẠNG
蚓	DẪN
蚕	TẰM
蚣	CÔNG
蚤	TẢO
蚩	XI
蚪	ĐẨU
蚯	KHÂU
蚰	DU
蚶	HAM
蛄	CÔ
蛆	THƯ
蛇	XÀ
蛉	LINH
蛍	HUỲNH
蛔	HỒI
蛙	OA
蛛	CHU/THÙ
蛞	KHOÁT
蛟	GIAO
蛤	CÁP
蛩	CUNG
蛭	ĐIỆT
蛮	MAN
蛸	SAO
蛹	DŨNG
蛾	NGA/NGHĨ
蜀	THỤC
蜂	PHONG
蜆	HIỆN
蜈	NGÔ
蜉	PHÙ
蜊	LỴ/LỊ
蜍	THỪ
蜑	ĐẢN
蜒	DIÊN
蜘	TRI
蜜	MẬT
蜥	TÍCH
蜩	ĐIÊU
蜴	DỊCH
蜷	QUYỀN
蜻	TINH
蜿	UYỂN
蝌	KHOA
蝎	HẠT
蝓	DU
蝕	THỰC
蝗	HOÀNG
蝙	BIÊN/BIỂN
蝟	VỊ
蝠	BỨC
蝣	DU
蝦	HÀ
蝨	SẮT
蝮	PHÚC
蝴	HỒ
蝶	ĐIỆP
蝸	OA
螂	LANG
融	DUNG
螟	MINH
螢	HUỲNH
螫	THÍCH
螯	NGAO
螳	ĐƯỜNG
螺	LOA
螻	LÂU
螽	CHUNG
蟀	XUẤT
蟆	MÔ
蟇	MÔ
蟋	TẤT
蟒	MÃNG
蟷	ĐƯỜNG
蟹	GIẢI
蟻	NGHỊ
蟾	THIỀM
蠍	HẠT
蠏	GIẢI
蠑	VANH
蠧	ĐỐ
蠶	TÀM
血	HUYẾT
衆	CHÚNG
行	HÀNH
衍	DIỄN
衒	HUYỄN
術	THUẬT
街	NHAI
衙	NHA
衛	VỆ
衝	XUNG
衞	VỆ
衡	HÀNH/HOÀNG
衢	CÙ
衣	Y
表	BIỂU
衰	SUY
衷	TRUNG
衾	KIM
袁	VIÊN
袋	ĐẠI
袖	TỤ
袞	CỔN
袢	BAN
袤	MẬU
被	BỊ
袴	KHỐ
裁	TÀI
裂	LIỆT
装	TRANG
裏	LÝ
裕	DỤ
補	BỔ
裡	LÝ
裳	THƯỜNG
裴	BÙI/BỒI
裸	KHỎA
裹	KHỎA/LÕA
製	CHẾ
裾	CƯ/CỨ
複	PHỨC
褐	HẠT/CÁT
褒	BAO
褓	BẢO
褥	NHỤC
褪	THỐN
褻	TIẾT
襁	CƯỠNG
襃	BAO
襞	PHÁCH
襟	KHÂM
襲	TẬP
西	TÂY
要	YẾU
覆	PHÚC
覇	BÁ
見	KIẾN
規	QUY/QUI
視	THỊ
覚	GIÁC
覧	LÃM
親	THÂN
観	QUAN
角	GIÁC
解	GIẢI
触	XÚC
言	NGÔN
訂	ĐÍNH
計	KẾ
討	THẢO
訓	HUẤN
託	THÁC
記	KÝ
訟	TỤNG
訪	PHỎNG/PHÓNG
設	THIẾT
許	HỨA
訳	DỊCH
訴	TỐ
診	CHẨN
証	CHỨNG
詈	LỴ/LỊ
詐	TRÁ
詔	CHIẾU
評	BÌNH
詞	TỪ
詠	VỊNH
詣	NGHỆ
試	THÍ
詩	THI
詭	NGỤY
詰	CẬT
話	THOẠI
該	CAI
詳	TƯỜNG
誇	KHOA
誉	DỰ
誌	CHÍ
認	NHẬN
誓	THỆ
誕	ĐẢN
誘	DỤ
語	NGỮ
誠	THÀNH
誣	VU
誤	NGỘ
誦	TỤNG
説	THUYẾT
読	ĐỘC
誰	THÙY
課	KHÓA
誹	PHỈ
誼	NGHỊ
調	ĐIỀU
談	ĐÀM
請	THỈNH
諒	LƯỢNG
論	LUẬN
諛	DU
諜	ĐIỆP
諤	NGẠC
諧	GIAI
諭	DỤ
諮	TY
諳	AM
諷	PHÚNG
諸	CHƯ
諺	NGẠN
諾	NẶC
謀	MƯU
謁	YẾT
謄	ĐẰNG
謎	MÊ
謗	BÁNG
謙	KHIÊM
講	GIẢNG
謝	TẠ
謡	DAO
謳	ÂU
謹	CẨN
譏	CƠ
識	THỨC
譜	PHỔ
警	CẢNH
譬	THÍ
議	NGHỊ
譲	NHƯỢNG
護	HỘ
變	BIẾN
讎	THÙ
讐	THÙ
讒	SÀM
谷	CỐC
豆	ĐẬU
豈	KHẢI/KHỞI
豊	PHONG
豚	ĐỒN/ĐỘN
象	TƯỢNG
豪	HÀO
豹	BÁO
貌	MẠO
貝	BỐI
貞	TRINH
負	PHỤ
財	TÀI
貢	CỐNG
貧	BẦN
貨	HÓA
販	PHIẾN
貪	THAM
貫	QUÁN
責	TRÁCH
貯	TRỮ
貳	NHỊ
貴	QUÝ/QUÍ
貶	BIẾM
買	MÃI
貸	THẢI
費	PHÍ
貿	MẬU
賀	HẠ
賃	NHẪM
賄	HỐI
資	TƯ
賊	TẶC
賑	CHẨN
賓	TÂN
賛	TÁN
賜	TỨ
賞	THƯỞNG
賠	BỒI
賢	HIỀN
賣	MẠI
賦	PHÚ
質	CHẤT
賭	ĐỔ
購	CẤU
賽	TÁI
贈	TẶNG
贋	NHẠN
贏	DOANH
贖	THỤC
赤	XÍCH
赦	XÁ
走	TẨU
赳	CỦ
赴	PHÓ
起	KHỞI
超	SIÊU
越	VIỆT
趙	TRIỆU
趣	THÚ
足	TÚC
跋	BẠT
距	CỰ
跡	TÍCH
路	LỘ
跳	KHIÊU
践	TIỄN
踊	DƯỢC
踏	ĐẠP
蹇	KIỂN
蹙	TÚC/XÚC
蹴	XÚC
躁	TÁO
躇	TRỪ
躊	TRÙ
躍	DŨNG
身	THÂN
躬	CUNG
躰	THỂ
躱	ĐÓA
車	XA
軋	YẾT/LOÁT
軌	QUỸ/QUĨ
軍	QUÂN
軒	HIÊN
軟	NHUYỄN
転	CHUYỂN
軸	TRỤC
軽	KHINH
較	GIÁC/HIỆU
載	TẢI/TÁI
輔	PHỤ
輝	HUY
輩	BỐI
輪	LUÂN
輸	THÂU
輿	DƯ
轂	CỐC
轄	HẠT
轟	OANH
轡	BÍ
轢	LỊCH
辛	TÂN
辜	CÔ
辞	TỪ
辟	BÍCH/TỊCH
辣	LẠT
辮	BIỆN
辯	BIỆN
辰	THÌN/THẦN
辱	NHỤC
農	NÔNG
辷	(trượt)
辺	BIÊN
辻	TỬ
込	(nhập)
迂	VU
迄	HẤT
迅	TẤN
迎	NGHÊNH/NGHINH
近	CẬN
返	PHẢN
迚	(sung)
迪	ĐỊCH
迫	BÁCH
迭	ĐIỆT
述	THUẬT
迷	MÊ
迺	NÃI
追	TRUY
退	THOÁI/THỐI
送	TỐNG
逃	ĐÀO
逆	NGHỊCH
逍	TIÊU
透	THẤU
逐	TRỤC
逓	ĐỆ
途	ĐỒ
這	GIÁ/NGHIỆN
通	THÔNG
逝	THỆ
速	TỐC
造	TẠO/THÁO
逡	THOÁI
逢	PHÙNG
連	LIÊN
逮	ĐÃI
週	CHU
進	TIẾN/TẤN
逸	DẬT
遁	ĐỘN
遂	TOẠI
遅	TRÌ
遇	NGỘ
遊	DU
運	VẬN
遍	BIẾN
過	QUÁ
道	ĐẠO
達	ĐẠT
違	VI
遙	DIÊU
遜	TỐN
遠	VIỄN
遡	TỐ
遣	KHIỂN
遥	DIÊU
適	THÍCH
遭	TAO
遮	GIÀ
遵	TUÂN
遷	THIÊN
選	TUYỂN
遺	DI
遼	LIÊU
避	TỴ
邁	MẠI
還	HOÀN
邉	BIÊN
邊	BIÊN
邏	LA
邑	ẤP
那	NA
邦	BANG
邪	TÀ
邸	ĐỂ
郁	ÚC
郊	GIAO
郎	LANG
郡	QUẬN
部	BỘ
郭	QUÁCH
郵	BƯU
郷	HƯƠNG
都	ĐÔ
鄙	BỈ
鄧	ĐẶNG
酉	DẬU
酋	TÙ
酌	CHƯỚC
配	PHỐI
酒	TỬU
酔	TÚY
酢	TẠC
酪	LẠC
酬	THÙ
酵	GIẾU/DIẾU
酷	KHỐC
酸	TOAN
醇	THUẦN
醋	THỐ
醜	XÚ
醬	TƯƠNG
醸	NHƯỠNG
采	THẢI/THÁI
釈	THÍCH
里	LÝ
重	TRỌNG/TRÙNG
野	DÃ
量	LƯỢNG
釐	LY/HY
金	KIM
釘	ĐINH
釜	PHỦ
針	CHÂM
釣	ĐIẾU
釦	KHẤU
釧	XUYẾN
鈍	ĐỘN
鈴	LINH
鈿	ĐIỀN
鉄	THIẾT
鉛	DUYÊN
鉢	BÁT
鉱	KHOÁNG
銀	NGÂN
銃	SÚNG
銅	ĐỒNG
銑	TIỂN
銓	THUYÊN
銘	MINH
銜	HÀM
銭	TIỀN
銷	TIÊU
鋏	KIỆP
鋤	SỪ
鋭	NHUỆ/DUỆ
鋳	CHÚ
鋸	CƯ
鋼	CƯƠNG
錘	TRUY/TRÚY
錠	ĐĨNH
錦	CẨM
錨	MIÊU
錫	TÍCH
錬	LUYỆN
錯	THÁC
録	LỤC
鍋	OA
鍛	ĐOÀN/ĐOÁN
鍵	KIỆN
鎌	LIÊM
鎖	TỎA
鎧	KHẢI
鎮	TRẤN
鏡	KÍNH
鐘	CHUNG
鑑	GIÁM
鑠	THƯỚC
鑢	LÔ
長	TRƯỜNG
門	MÔN
閉	BẾ
開	KHAI
閏	NHUẬN
閑	NHÀN
間	GIAN
関	QUAN
閣	CÁC
閥	PHIỆT
閲	DUYỆT
闇	ÁM
闊	KHOÁT
闘	ĐẤU
阜	PHỤ
阪	PHẢN
阮	NGUYỄN
防	PHÒNG
阻	TRỞ
阿	A/Á
陀	ĐÀ
附	PHỤ
降	GIÁNG/HÀNG
限	HẠN
陛	BỆ
院	VIỆN
陣	TRẬN
除	TRỪ
陥	HÃM
陪	BỒI
陰	ÂM
陳	TRẦN
陵	LĂNG
陶	ĐÀO
陸	LỤC
険	HIỂM
陽	DƯƠNG
隅	ÔI
隆	LONG
隊	ĐỘI
隋	TÙY/ĐỌA
階	GIAI
随	TÙY
隔	CÁCH
際	TẾ
障	CHƯỚNG
隠	ẨN
隣	LÂN
隷	LỆ
隻	CHÍCH
隼	CHUẨN
雀	TƯỚC
雁	NHẠN
雄	HÙNG
雅	NHÃ
集	TẬP
雇	CỐ
雌	THƯ
雑	TẠP
雙	SONG
雛	SỒ
離	LY
難	NẠN/NAN
雨	VŨ/VÚ
雪	TUYẾT
雰	PHÂN
雲	VÂN
零	LINH
雷	LÔI
電	ĐIỆN
需	NHU
霄	TIÊU
震	CHẤN
霊	LINH
霙	ANH
霜	SƯƠNG
霞	HÀ
霧	VỤ
霰	TẢN
露	LỘ
靄	ẢI
青	THANH
靖	TĨNH
静	TĨNH
非	PHI
靡	MỊ
面	DIỆN
靨	YẾP
革	CÁCH
靴	NGOA
鞄	BAO
韓	HÀN
音	ÂM
韻	VẬN
響	HƯỞNG
頂	ĐỈNH/ĐINH
頃	KHOẢNH
項	HẠNG
順	THUẬN
須	TU
頌	TỤNG
預	DỰ
頑	NGOAN
頒	BAN
頓	ĐỐN
領	LÃNH/LĨNH
頬	GIÁP
頭	ĐẦU
頷	HẠM
頻	TẦN
頼	LẠI
題	ĐỀ
額	NGẠCH
顎	NGẠC
顔	NHAN
顕	HIỂN
願	NGUYỆN
類	LOẠI
顧	CỐ
顰	TẦN
顱	LƯ
風	PHONG
飛	PHI
食	THỰC
飢	CƠ
飩	ĐỒN
飯	PHẠN
飲	ẨM
飼	TỰ
飽	BÃO
飾	SỨC
餅	BÍNH
餉	HƯỚNG
養	DƯỠNG
餐	SAN
餓	NGẠ
餡	HÃM
館	QUÁN
饂	ÔN
饉	CẬN
饋	QUỸ
饑	CƠ
首	THỦ
香	HƯƠNG
馥	PHỨC/PHỐC
馨	HINH
馬	MÃ
馴	THUẦN
駁	BÁC
駄	ĐÀ
駅	DỊCH
駆	KHU
駐	TRÚ
駒	CÂU
駕	GIÁ
駿	TUẤN
騎	KỊ
騒	TAO
験	NGHIỆM
騰	ĐẰNG
驕	KIÊU
驚	KINH
驢	LƯ
骨	CỐT
骸	HÀI
髄	TỦY
高	CAO
髪	PHÁT
髭	TƯ
鬟	HOÀN
鬱	UẤT
鬼	QUỶ/QUỈ
魂	HỒN
魅	MỊ
魍	VÕNG
魎	LƯỢNG
魏	NGỤY
魑	SI
魔	MA
魘	YỂM
魚	NGƯ
鮎	NIÊM
鮠	NGÔI/NGUY
鮨	CHỈ
鮫	GIAO
鮮	TIÊN
鮹	TIÊU
鯉	LÝ
鯏	LỴ/LỊ
鯛	ĐIÊU
鯨	KÌNH
鰐	NGẠC
鰭	KỲ
鰻	MAN
鱈	TUYẾT
鳥	ĐIỂU
鳩	CƯU
鳳	PHỤNG
鳴	MINH
鳶	DIÊN
鴈	NHẠN
鴨	ÁP
鶉	THUẦN
鶏	KÊ
鶴	HẠC
鷲	THỨU
鷹	ƯNG
鷺	LỘ
鸞	LOAN
鹵	LỖ
鹿	LỘC
麈	CHỦ
麋	MI
麌	NGÔ
麓	LỘC
麕	QUẦN
麗	LỆ
麝	XẠ
麦	MẠCH
麩	PHU
麺	MIẾN
麻	MA
麼	MI
麿	MA
黄	HOÀNG/HUỲNH
黌	HUỲNH
黍	THỬ
黎	LÊ
黒	HẮC
黔	KIỀM
默	MẶC
黙	MẶC
黛	ĐẠI
黜	TRUẤT
黝	ỬU
點	ĐIỂM
黠	HIỆT
黥	KÌNH
黨	ĐẢNG
黯	ẢM
黴	MỊ
黶	YỂM
黷	ĐỘC
黹	CHỈ
黻	PHẤT
黼	PHỦ
黽	MÃNH/MẪN
鼇	NGAO
鼈	MIẾT
鼎	ĐỈNH
鼓	CỔ
鼕	ĐÔNG
鼠	THỬ
鼬	DỨU
鼻	TỴ
鼾	HÃN/HAN
齎	TÊ
齒	XỈ
齔	SẤN
齟	TRỞ
齠	ĐIỀU
齡	LINH
齢	LINH
齣	XUẤT/XÍCH
齦	NGÂN/KHẨN
齧	KHIẾT
齪	XÚC
齬	NGỮ
齲	KHỦ
齶	NGẠC
齷	ÁC
龍	LONG/SỦNG
龕	KHAM/KHÁM
龜	QUY/QUI/CƯU/QUÂN
龠	DƯỢC/THƯỢC
